terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,superfic_1,lon,lat
35901,Pirajuí,Guarani Nhandeva,Paranhos,MS,21182325,Regularizada,Tradicionalmente ocupada,,,,
36001,Pirakua,Guarani Kaiowá,"Bela Vista, Ponta Porã",MS,23840554,Regularizada,Tradicionalmente ocupada,,,,
36101,Pirineus de Souza,Nambikwára,Comodoro,MT,282122716,Regularizada,Tradicionalmente ocupada,,,,
36201,Pitaguary,Pitaguari,"Maracanaú, Pacatuba",CE,17278686,Declarada,Tradicionalmente ocupada,,,,
36301,Pium,Wapixana,Alto Alegre,RR,46076137,Regularizada,Tradicionalmente ocupada,,,,
36401,Ponta da Serra,Makuxi,Boa Vista,RR,15597,Regularizada,Tradicionalmente ocupada,,,,
36501,Ponte de Pedra,Paresí,"Campo Novo do Parecis, Diamantino, Nova Maringa",MT,17000,Declarada,Tradicionalmente ocupada,,,,
36601,Porquinhos,Kanela,"Barra do Corda, Fernando Falcão",MA,79520,Regularizada,Tradicionalmente ocupada,,X,,
36602,Porquinhos dos Kanela Apãnjekra,Kanela,"Barra do Corda, Fernando Falcão",MA,301000,Declarada,Tradicionalmente ocupada,Reestudo,,,
36701,Porto Lindo,Guarani Nhandeva,Japorã,MS,16488899,Regularizada,Tradicionalmente ocupada,,X,,
36702,Yvy-Katu,Ñhandeva,Paranhos,MS,94941636,Delimitada,Tradicionalmente ocupada,Reestudo,,,
36801,Porto Praia,Tikúna,Uarini,AM,47698617,Regularizada,Tradicionalmente ocupada,,,,
36901,Potiguara,Potiguara,"Rio Tinto, Marcação, Baia da Traição",PB,212384898,Regularizada,Tradicionalmente ocupada,,,,
37001,Potiguara de Monte-Mor,Potiguara,"Rio Tinto, Marcação",PB,75305969,Declarada,Tradicionalmente ocupada,,,,
37101,Potrero Guaçu,Guarani Nhandeva,Paranhos,MS,4025,Declarada,Tradicionalmente ocupada,,,,
37201,Poyanawa,Poyanáwa,Mâncio Lima,AC,244990885,Regularizada,Tradicionalmente ocupada,,,,
37301,Praia do Índio,Mundurukú,Itaituba,PA,315019,Encaminhada RI,Reserva Indigena,,,,
