boundary,ethnic_group,leisure,name,operator,protect_class,protection_title,ref:Funai,source,type,id,is_in:city,is_in:state_code,protected_area,FUNAI:ADR,FUNAI:AREAETNO,FUNAI:AREA_HA,FUNAI:CDOC,FUNAI:CODAREA,FUNAI:DATADOC,FUNAI:DOCUMENTO,FUNAI:ETAPA,FUNAI:EXTENSO,FUNAI:FLUXO,FUNAI:GID,FUNAI:GRUPOS,FUNAI:LINKAREA,FUNAI:NOME_AREA,FUNAI:PERIMETRO,FUNAI:REV,FUNAI:SITUACAO,FUNAI:TITULO,population,designation,alt_name,ownership,name:en,wikidata,wikipedia,loc_name,old_name,related_law,start_date,note,protect_area,protect_title,website,heritage,source:law,FUNAI:OBS_AREA,fixme,description
protected_area,,nature_reserve,Terra Indígena Sucuriy,Fundação Nacional do Índio,24,terra indígena,43401,Funai,,way/314011249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Aldeia Limão Verde,Fundação Nacional do Índio,24,reserva indígena,801,Funai,,way/314011525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Rancho Jacaré,Fundação Nacional do Índio,24,terra indígena,37801,Funai,,way/314013074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Caarapó,Fundação Nacional do Índio,24,terra indígena,7201,Funai,,way/314015670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Buritizinho,Fundação Nacional do Índio,24,terra indígena,7101,Funai,,way/314016176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Jarara,Fundação Nacional do Índio,24,terra indígena,18901,Funai,,way/314021866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Jaguari,Fundação Nacional do Índio,24,terra indígena,18201,Funai,,way/314021915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Guasuti,Fundação Nacional do Índio,24,terra indígena,14901,Funai,,way/314022262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Dourados,Fundação Nacional do Índio,24,reserva indígena,11101,Funai,,way/314022466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,reserva_indigena,Terra Indígena Pilad Rebuá,Fundação Nacional do Índio,24,terra indígena,35201,Funai,,way/314023477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Maxacali,Fundação Nacional do Índio,24,terra indígena,28301,Funai,,way/314025360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Mata Medonha,Fundação Nacional do Índio,24,terra indígena,28001,Funai,,way/314026284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Barra,Fundação Nacional do Índio,24,reserva indígena,5701,Funai,,way/314026624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Fazenda Guarani,Fundação Nacional do Índio,24,terra indígena,12701,Funai,,way/314032773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Imbiriba,Fundação Nacional do Índio,24,terra indígena,16803,Funai,,way/314032790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Fazenda Bahiana,Fundação Nacional do Índio,24,reserva indígena,12401,Funai,,way/314032797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Recreio/São Félix,Fundação Nacional do Índio,24,terra indígena,38001,Funai,,way/317872948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Patauá,Fundação Nacional do Índio,24,terra indígena,33901,Funai,,way/317873036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Rio Jumas,Fundação Nacional do Índio,24,terra indígena,39601,Funai,,way/317873279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Fortaleza do Patauá,Fundação Nacional do Índio,24,terra indígena,13001,Funai,,way/317873759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Itaitinga,Fundação Nacional do Índio,24,terra indígena,17501,Funai,,way/317873760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Jatuarana,Fundação Nacional do Índio,24,terra indígena,19201,Funai,,way/317874152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Miguel/Josefa,Fundação Nacional do Índio,24,terra indígena,29101,Funai,,way/317874153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Padre,Fundação Nacional do Índio,24,terra indígena,31901,Funai,,way/317874312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Paracuhuba,Fundação Nacional do Índio,24,terra indígena,32801,Funai,,way/317874313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Geralda Toco Preto,Fundação Nacional do Índio,24,terra indígena,13501,Funai,,way/317876454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Morro Branco,Fundação Nacional do Índio,24,terra indígena,29501,Funai,,way/317876774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Paquiçamba,Fundação Nacional do Índio,24,terra indígena,32601,Funai,,way/333037629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Terra Indígena Marrecas,Fundação Nacional do Índio,24,terra indígena,,FUNAI,,way/367643035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protected_area,,nature_reserve,Reserva Indígena Sol Nascente,Fundação Nacional do Índio,24,terra indígena,14101,Funai,,way/488575912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etnia Guarani Mbya
protected_area,,natural reserve,Terra Indígena Araçá,,24,,,Funai,multtipolygon,way/510227923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Toldo Imbu,Fundação Nacional do Índio,24,terra indígena,,Funai,,way/198833587,,,political,Chapecó,III,1965,Memora Dem,45801,2011/06/03 00:00:00,Memo/CGD - Libera peças técnicas,Processo de homologação,Principal,305,481,Kaingang,TI Toldo Imbu,Toldo Imbu,22,,Declarada,Memorando nº 170/CGGEO/2011,974,,,,,,,,,,,,,,,,,,,
,,,Toldo Pinhal,Fundação Nacional do Índio,24,terra indígena,,Funai,,way/198833588,"Arvoredo;Paial;Seara",SC,political,Chapecó,III,4846,Port Decl,35502,2007/04/19 00:00:00,Portaria Declaratória,Planejamento demarcação,Revisão,230,513,Kaingang,TI Toldo Pinhal,Toldo Pinhal,48,2,Declarada,"Portaria n° 795, de 19 de abril de 2007",121,,,,,,,,,,,,,,,,,,,
,,,Terra Indígena Ibirama,Fundação Nacional do Índio,24,terra indígena,15301,Funai,,way/294413909,,,,,,,,,,,,,,,,,,,,regularizada,,,,,,,,,,,,1956,,,,,,,,,
,,,,,,,,,,way/372230028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,node/5462057474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
